id,category,type,model,seats,doors,baggageCapacity,dailyRate,fuelType,transmissionType,available
L001,Luxury,Luxury Sedan,Mercedes-Benz C200,5,4,2 Large,475,Petrol,Auto,true
L002,Luxury,Luxury Sedan,BMW 320i,5,4,2 Large,525,Petrol,Auto,true
L003,Luxury,Luxury SUV,BMW X5,5,5,3 Large,700,Petrol,Auto,true
L004,Luxury,Luxury SUV,Mercedes-Benz GLC300,5,5,3 Large,675,Petrol,Auto,true
L005,Luxury,Executive,Toyota Camry,5,4,2 Medium-Large,350,Petrol,Auto,true
L006,Luxury,Executive,Honda Accord,5,4,2 Medium-Large,315,Petrol,Auto,true
L007,Luxury,Premium MPV,Toyota Vellfire,7,5,3 Large,800,Petrol,Auto,true
L008,Luxury,Premium MPV,Toyota Alphard,7,5,3 Large,825,Petrol,Auto,true
L009,Luxury,Sport Coupe,Ford Mustang,4,2,1 Medium,1050,Petrol,Auto,true
L010,Luxury,Sport Coupe,Nissan 370Z,2,2,1 Small,800,Petrol,Manual,true
L011,Luxury,Convertible,Mazda MX-5,2,2,1 Small,700,Petrol,Manual,true
L012,Luxury,Luxury EV,Tesla Model 3,5,4,2 Medium,600,Electric,Auto,true
L013,Luxury,Luxury EV,BYD Seal Performance,5,4,2 Medium,475,Electric,Auto,true
L014,Luxury,Prestige SUV,Range Rover Velar,5,5,3 Large,950,Petrol,Auto,true
L015,Luxury,Luxury Sedan,Lexus ES250,5,4,2 Medium-Large,575,Petrol,Auto,true
